year,gender,age,country,population
2002,Female,39--47,UA,0
2002,Female,39--47,UG,0
2002,Female,39--47,US,0
2002,Female,39--47,UZ,0
2002,Female,39--47,Unknown,0
2002,Female,39--47,VN,0
2002,Female,39--47,ZZ,0
2002,Female,48+,AF,0
2002,Female,48+,AL,0
2002,Female,48+,BD,0
2002,Female,48+,BF,0
2002,Female,48+,BG,0
2002,Female,48+,BO,0
2002,Female,48+,BY,0
2002,Female,48+,CD,0
2002,Female,48+,CI,0
2002,Female,48+,CN,0
2002,Female,48+,CO,0
2002,Female,48+,ER,0
2002,Female,48+,GH,0
2002,Female,48+,GN,0
2002,Female,48+,GW,0
2002,Female,48+,HT,0
2002,Female,48+,ID,0
2002,Female,48+,IN,0
2002,Female,48+,KG,0
2002,Female,48+,KH,0
2002,Female,48+,KR,0
2002,Female,48+,KZ,0
2002,Female,48+,LA,0
2002,Female,48+,LK,0
2002,Female,48+,MD,0
2002,Female,48+,MG,0
2002,Female,48+,ML,0
2002,Female,48+,MM,0
2002,Female,48+,MX,0
2002,Female,48+,NE,0
2002,Female,48+,NG,0
2002,Female,48+,NP,0
2002,Female,48+,PH,0
2002,Female,48+,RO,0
2002,Female,48+,SL,0
2002,Female,48+,SN,0
2002,Female,48+,SV,0
2002,Female,48+,TH,0
2002,Female,48+,TJ,0
2002,Female,48+,TM,0
2002,Female,48+,UA,0
2002,Female,48+,UG,0
2002,Female,48+,US,0
2002,Female,48+,UZ,0
2002,Female,48+,Unknown,0
2002,Female,48+,VN,0
2002,Female,48+,ZZ,0
2002,Female,9--17,AF,0
2002,Female,9--17,AL,0
2002,Female,9--17,BD,0
2002,Female,9--17,BF,0
2002,Female,9--17,BG,0
2002,Female,9--17,BO,0
2002,Female,9--17,BY,0
2002,Female,9--17,CD,0
2002,Female,9--17,CI,0
2002,Female,9--17,CN,0
2002,Female,9--17,CO,0
2002,Female,9--17,ER,0
2002,Female,9--17,GH,0
2002,Female,9--17,GN,0
2002,Female,9--17,GW,0
2002,Female,9--17,HT,0
2002,Female,9--17,ID,0
2002,Female,9--17,IN,0
2002,Female,9--17,KG,0
2002,Female,9--17,KH,0
2002,Female,9--17,KR,0
2002,Female,9--17,KZ,0
2002,Female,9--17,LA,0
2002,Female,9--17,LK,0
2002,Female,9--17,MD,0
2002,Female,9--17,MG,0
2002,Female,9--17,ML,0
2002,Female,9--17,MM,0
2002,Female,9--17,MX,0
2002,Female,9--17,NE,0
2002,Female,9--17,NG,0
2002,Female,9--17,NP,0
2002,Female,9--17,PH,0
2002,Female,9--17,RO,25
2002,Female,9--17,SL,0
2002,Female,9--17,SN,0
2002,Female,9--17,SV,0
2002,Female,9--17,TH,0
2002,Female,9--17,TJ,0
2002,Female,9--17,TM,0
2002,Female,9--17,UA,0
2002,Female,9--17,UG,0
2002,Female,9--17,US,0
2002,Female,9--17,UZ,0
2002,Female,9--17,Unknown,0
2002,Female,9--17,VN,0
2002,Female,9--17,ZZ,0
2002,Female,Unknown,AF,0
2002,Female,Unknown,AL,0
2002,Female,Unknown,BD,0
2002,Female,Unknown,BF,0
2002,Female,Unknown,BG,0
2002,Female,Unknown,BO,0
2002,Female,Unknown,BY,0
2002,Female,Unknown,CD,0
2002,Female,Unknown,CI,0
2002,Female,Unknown,CN,0
2002,Female,Unknown,CO,31
2002,Female,Unknown,ER,0
2002,Female,Unknown,GH,0
2002,Female,Unknown,GN,0
2002,Female,Unknown,GW,0
2002,Female,Unknown,HT,0
2002,Female,Unknown,ID,0
2002,Female,Unknown,IN,0
2002,Female,Unknown,KG,0
2002,Female,Unknown,KH,0
2002,Female,Unknown,KR,0
2002,Female,Unknown,KZ,0
2002,Female,Unknown,LA,0
2002,Female,Unknown,LK,0
2002,Female,Unknown,MD,0
2002,Female,Unknown,MG,0
2002,Female,Unknown,ML,0
2002,Female,Unknown,MM,0
2002,Female,Unknown,MX,0
2002,Female,Unknown,NE,0
2002,Female,Unknown,NG,0
2002,Female,Unknown,NP,0
2002,Female,Unknown,PH,0
2002,Female,Unknown,RO,0
2002,Female,Unknown,SL,0
2002,Female,Unknown,SN,0
2002,Female,Unknown,SV,0
2002,Female,Unknown,TH,0
2002,Female,Unknown,TJ,0
2002,Female,Unknown,TM,0
2002,Female,Unknown,UA,0
2002,Female,Unknown,UG,0
2002,Female,Unknown,US,0
2002,Female,Unknown,UZ,0
2002,Female,Unknown,Unknown,0
2002,Female,Unknown,VN,0
2002,Female,Unknown,ZZ,0
2002,Male,0--8,AF,0
2002,Male,0--8,AL,0
2002,Male,0--8,BD,0
2002,Male,0--8,BF,0
2002,Male,0--8,BG,0
2002,Male,0--8,BO,0
2002,Male,0--8,BY,0
2002,Male,0--8,CD,0
2002,Male,0--8,CI,0
2002,Male,0--8,CN,0
2002,Male,0--8,CO,0
2002,Male,0--8,ER,0
2002,Male,0--8,GH,0
2002,Male,0--8,GN,0
2002,Male,0--8,GW,0
2002,Male,0--8,HT,0
2002,Male,0--8,ID,0
2002,Male,0--8,IN,0
2002,Male,0--8,KG,0
2002,Male,0--8,KH,0
2002,Male,0--8,KR,0
2002,Male,0--8,KZ,0
2002,Male,0--8,LA,0
2002,Male,0--8,LK,0
2002,Male,0--8,MD,0
2002,Male,0--8,MG,0
2002,Male,0--8,ML,0
2002,Male,0--8,MM,0
2002,Male,0--8,MX,0
2002,Male,0--8,NE,0
2002,Male,0--8,NG,0
2002,Male,0--8,NP,0
2002,Male,0--8,PH,0
2002,Male,0--8,RO,0
2002,Male,0--8,SL,0
2002,Male,0--8,SN,0
2002,Male,0--8,SV,0
2002,Male,0--8,TH,0
2002,Male,0--8,TJ,0
2002,Male,0--8,TM,0
2002,Male,0--8,UA,0
2002,Male,0--8,UG,0
2002,Male,0--8,US,0
2002,Male,0--8,UZ,0
2002,Male,0--8,Unknown,0
2002,Male,0--8,VN,0
2002,Male,0--8,ZZ,0
2002,Male,18--20,AF,0
2002,Male,18--20,AL,0
2002,Male,18--20,BD,0
2002,Male,18--20,BF,0
2002,Male,18--20,BG,0
2002,Male,18--20,BO,0
2002,Male,18--20,BY,0
2002,Male,18--20,CD,0
2002,Male,18--20,CI,0
2002,Male,18--20,CN,0
2002,Male,18--20,CO,0
2002,Male,18--20,ER,0
2002,Male,18--20,GH,0
2002,Male,18--20,GN,0
2002,Male,18--20,GW,0
2002,Male,18--20,HT,0
2002,Male,18--20,ID,0
2002,Male,18--20,IN,0
2002,Male,18--20,KG,0
2002,Male,18--20,KH,0
2002,Male,18--20,KR,0
2002,Male,18--20,KZ,0
2002,Male,18--20,LA,0
2002,Male,18--20,LK,0
2002,Male,18--20,MD,0
2002,Male,18--20,MG,0
2002,Male,18--20,ML,0
2002,Male,18--20,MM,0
2002,Male,18--20,MX,0
2002,Male,18--20,NE,0
2002,Male,18--20,NG,0
2002,Male,18--20,NP,0
2002,Male,18--20,PH,0
2002,Male,18--20,RO,0
2002,Male,18--20,SL,0
2002,Male,18--20,SN,0
2002,Male,18--20,SV,0
2002,Male,18--20,TH,0
2002,Male,18--20,TJ,0
2002,Male,18--20,TM,0
2002,Male,18--20,UA,0
2002,Male,18--20,UG,0
2002,Male,18--20,US,0
2002,Male,18--20,UZ,0
2002,Male,18--20,Unknown,0
2002,Male,18--20,VN,0
2002,Male,18--20,ZZ,0
2002,Male,21--23,AF,0
2002,Male,21--23,AL,0
2002,Male,21--23,BD,0
2002,Male,21--23,BF,0
2002,Male,21--23,BG,0
2002,Male,21--23,BO,0
2002,Male,21--23,BY,0
2002,Male,21--23,CD,0
2002,Male,21--23,CI,0
2002,Male,21--23,CN,0
2002,Male,21--23,CO,0
